Reference:,,,,,,https://docs.okd.io/latest/rest_api/apis-apps/v1.Deployment.html

Field,,,,,,,,,,,Use,Reserve,Reserve,Type,Description
,,,imagePullSecrets,,,,,,,,,,,array, ImagePullSecrets is an optional list of references to secrets in the same namespace to use for pulling any of the images used by this PodSpec. If specified�C these secrets will be passed to individual puller implementations for them to use. For example�C in the case of docker�C only DockerConfig type secrets are honored. More info: https://kubernetes.io/docs/concepts/containers/images#specifying-imagepullsecrets-on-a-pod
,,,,name,,,,,,,,,,string, Name of the referent. More info: https://kubernetes.io/docs/concepts/overview/working-with-objects/names/#names
,,,initContainers,,,,,,,,,,,array, List of initialization containers belonging to the pod. Init containers are executed in order prior to containers being started. If any init container fails�C the pod is considered to have failed and is handled according to its restartPolicy. The name for an init container or normal container must be unique among all containers. Init containers may not have Lifecycle actions�C Readiness probes�C or Liveness probes. The resourceRequirements of an init container are taken into account during scheduling by finding the highest request/limit for each resource type�C and then using the max of of that value or the sum of the normal containers. Limits are applied to init containers in a similar fashion. Init containers cannot currently be added or removed. Cannot be updated. More info: https://kubernetes.io/docs/concepts/workloads/pods/init-containers/
,,,,args,,,,,,,,,,array, Arguments to the entrypoint. The docker image&apos;s CMD is used if this is not provided. Variable references $(VAR_NAME) are expanded using the container&apos;s environment. If a variable cannot be resolved�C the reference in the input string will be unchanged. The $(VAR_NAME) syntax can be escaped with a double $$�C ie: $$(VAR_NAME). Escaped references will never be expanded�C regardless of whether the variable exists or not. Cannot be updated. More info: https://kubernetes.io/docs/tasks/inject-data-application/define-command-argument-container/#running-a-command-in-a-shell
,,,,,[string],,,,,,,,,string, 
,,,,command,,,,,,,,,,array, Entrypoint array. Not executed within a shell. The docker image&apos;s ENTRYPOINT is used if this is not provided. Variable references $(VAR_NAME) are expanded using the container&apos;s environment. If a variable cannot be resolved�C the reference in the input string will be unchanged. The $(VAR_NAME) syntax can be escaped with a double $$�C ie: $$(VAR_NAME). Escaped references will never be expanded�C regardless of whether the variable exists or not. Cannot be updated. More info: https://kubernetes.io/docs/tasks/inject-data-application/define-command-argument-container/#running-a-command-in-a-shell
,,,,,[string],,,,,,,,,string, 
,,,,env,,,,,,,,,,array, List of environment variables to set in the container. Cannot be updated.
,,,,,name,,,,,,,,,string, Name of the environment variable. Must be a C_IDENTIFIER.
,,,,,value,,,,,,,,,string, Variable references $(VAR_NAME) are expanded using the previous defined environment variables in the container and any service environment variables. If a variable cannot be resolved�C the reference in the input string will be unchanged. The $(VAR_NAME) syntax can be escaped with a double $$�C ie: $$(VAR_NAME). Escaped references will never be expanded�C regardless of whether the variable exists or not. Defaults to &quot;&quot;.
,,,,,valueFrom,,,,,,,,,v1.EnvVarSource, Source for the environment variable&apos;s value. Cannot be used if value is not empty.
,,,,,,configMapKeyRef,,,,,,,,v1.ConfigMapKeySelector, Selects a key of a ConfigMap.
,,,,,,,key,,,,,,,string, The key to select.
,,,,,,,name,,,,,,,string, Name of the referent. More info: https://kubernetes.io/docs/concepts/overview/working-with-objects/names/#names
,,,,,,,optional,,,,,,,boolean, Specify whether the ConfigMap or it&apos;s key must be defined
,,,,,,fieldRef,,,,,,,,v1.ObjectFieldSelector, Selects a field of the pod: supports metadata.name�C metadata.namespace�C metadata.labels�C metadata.annotations�C spec.nodeName�C spec.serviceAccountName�C status.hostIP�C status.podIP.
,,,,,,,apiVersion,,,,,,,string, Version of the schema the FieldPath is written in terms of�C defaults to &quot;v1&quot;.
,,,,,,,fieldPath,,,,,,,string, Path of the field to select in the specified API version.
,,,,,,resourceFieldRef,,,,,,,,v1.ResourceFieldSelector, Selects a resource of the container: only resources limits and requests (limits.cpu�C limits.memory�C limits.ephemeral-storage�C requests.cpu�C requests.memory and requests.ephemeral-storage) are currently supported.
,,,,,,,containerName,,,,,,,string, Container name: required for volumes�C optional for env vars
,,,,,,,divisor,,,,,,,resource.Quantity, Specifies the output format of the exposed resources�C defaults to &quot;1&quot;
,,,,,,,resource,,,,,,,string, Required: resource to select
,,,,,,secretKeyRef,,,,,,,,v1.SecretKeySelector, Selects a key of a secret in the pod&apos;s namespace
,,,,,,,key,,,,,,,string, The key of the secret to select from.  Must be a valid secret key.
,,,,,,,name,,,,,,,string, Name of the referent. More info: https://kubernetes.io/docs/concepts/overview/working-with-objects/names/#names
,,,,,,,optional,,,,,,,boolean, Specify whether the Secret or it&apos;s key must be defined
,,,,envFrom,,,,,,,,,,array, List of sources to populate environment variables in the container. The keys defined within a source must be a C_IDENTIFIER. All invalid keys will be reported as an event when the container is starting. When a key exists in multiple sources�C the value associated with the last source will take precedence. Values defined by an Env with a duplicate key will take precedence. Cannot be updated.
,,,,,configMapRef,,,,,,,,,v1.ConfigMapEnvSource, The ConfigMap to select from
,,,,,,name,,,,,,,,string, Name of the referent. More info: https://kubernetes.io/docs/concepts/overview/working-with-objects/names/#names
,,,,,,optional,,,,,,,,boolean, Specify whether the ConfigMap must be defined
,,,,,prefix,,,,,,,,,string, An optional identifier to prepend to each key in the ConfigMap. Must be a C_IDENTIFIER.
,,,,,secretRef,,,,,,,,,v1.SecretEnvSource, The Secret to select from
,,,,,,name,,,,,,,,string, Name of the referent. More info: https://kubernetes.io/docs/concepts/overview/working-with-objects/names/#names
,,,,,,optional,,,,,,,,boolean, Specify whether the Secret must be defined
,,,,image,,,,,,,,,,string, Docker image name. More info: https://kubernetes.io/docs/concepts/containers/images This field is optional to allow higher level config management to default or override container images in workload controllers like Deployments and StatefulSets.
,,,,imagePullPolicy,,,,,,,,,,string, Image pull policy. One of Always�C Never�C IfNotPresent. Defaults to Always if :latest tag is specified�C or IfNotPresent otherwise. Cannot be updated. More info: https://kubernetes.io/docs/concepts/containers/images#updating-images
,,,,lifecycle,,,,,,,,,,v1.Lifecycle, Actions that the management system should take in response to container lifecycle events. Cannot be updated.
,,,,,postStart,,,,,,,,,v1.Handler, PostStart is called immediately after a container is created. If the handler fails�C the container is terminated and restarted according to its restart policy. Other management of the container blocks until the hook completes. More info: https://kubernetes.io/docs/concepts/containers/container-lifecycle-hooks/#container-hooks
,,,,,,exec,,,,,,,,v1.ExecAction, One and only one of the following should be specified. Exec specifies the action to take.
,,,,,,,command,,,,,,,array, Command is the command line to execute inside the container�C the working directory for the command  is root (&apos;/&apos;) in the container&apos;s filesystem. The command is simply exec&apos;d�C it is not run inside a shell�C so traditional shell instructions (&apos;|&apos;�C etc) won&apos;t work. To use a shell�C you need to explicitly call out to that shell. Exit status of 0 is treated as live/healthy and non-zero is unhealthy.
,,,,,,,,[string],,,,,,string, 
,,,,,,httpGet,,,,,,,,v1.HTTPGetAction, HTTPGet specifies the http request to perform.
,,,,,,,host,,,,,,,string, Host name to connect to�C defaults to the pod IP. You probably want to set &quot;Host&quot; in httpHeaders instead.
,,,,,,,httpHeaders,,,,,,,array, Custom headers to set in the request. HTTP allows repeated headers.
,,,,,,,,name,,,,,,string, The header field name
,,,,,,,,value,,,,,,string, The header field value
,,,,,,,path,,,,,,,string, Path to access on the HTTP server.
,,,,,,,port,,,,,,,intstr.IntOrString, Name or number of the port to access on the container. Number must be in the range 1 to 65535. Name must be an IANA_SVC_NAME.
,,,,,,,scheme,,,,,,,string, Scheme to use for connecting to the host. Defaults to HTTP.
,,,,,,tcpSocket,,,,,,,,v1.TCPSocketAction, TCPSocket specifies an action involving a TCP port. TCP hooks not yet supported
,,,,,,,host,,,,,,,string, Optional: Host name to connect to�C defaults to the pod IP.
,,,,,,,port,,,,,,,intstr.IntOrString, Number or name of the port to access on the container. Number must be in the range 1 to 65535. Name must be an IANA_SVC_NAME.
,,,,,preStop,,,,,,,,,v1.Handler, PreStop is called immediately before a container is terminated. The container is terminated after the handler completes. The reason for termination is passed to the handler. Regardless of the outcome of the handler�C the container is eventually terminated. Other management of the container blocks until the hook completes. More info: https://kubernetes.io/docs/concepts/containers/container-lifecycle-hooks/#container-hooks
,,,,,,exec,,,,,,,,v1.ExecAction, One and only one of the following should be specified. Exec specifies the action to take.
,,,,,,,command,,,,,,,array, Command is the command line to execute inside the container�C the working directory for the command  is root (&apos;/&apos;) in the container&apos;s filesystem. The command is simply exec&apos;d�C it is not run inside a shell�C so traditional shell instructions (&apos;|&apos;�C etc) won&apos;t work. To use a shell�C you need to explicitly call out to that shell. Exit status of 0 is treated as live/healthy and non-zero is unhealthy.
,,,,,,,,[string],,,,,,string, 
,,,,,,httpGet,,,,,,,,v1.HTTPGetAction, HTTPGet specifies the http request to perform.
,,,,,,,host,,,,,,,string, Host name to connect to�C defaults to the pod IP. You probably want to set &quot;Host&quot; in httpHeaders instead.
,,,,,,,httpHeaders,,,,,,,array, Custom headers to set in the request. HTTP allows repeated headers.
,,,,,,,,name,,,,,,string, The header field name
,,,,,,,,value,,,,,,string, The header field value
,,,,,,,path,,,,,,,string, Path to access on the HTTP server.
,,,,,,,port,,,,,,,intstr.IntOrString, Name or number of the port to access on the container. Number must be in the range 1 to 65535. Name must be an IANA_SVC_NAME.
,,,,,,,scheme,,,,,,,string, Scheme to use for connecting to the host. Defaults to HTTP.
,,,,,,tcpSocket,,,,,,,,v1.TCPSocketAction, TCPSocket specifies an action involving a TCP port. TCP hooks not yet supported
,,,,,,,host,,,,,,,string, Optional: Host name to connect to�C defaults to the pod IP.
,,,,,,,port,,,,,,,intstr.IntOrString, Number or name of the port to access on the container. Number must be in the range 1 to 65535. Name must be an IANA_SVC_NAME.
,,,,livenessProbe,,,,,,,,,,v1.Probe, Periodic probe of container liveness. Container will be restarted if the probe fails. Cannot be updated. More info: https://kubernetes.io/docs/concepts/workloads/pods/pod-lifecycle#container-probes
,,,,,exec,,,,,,,,,v1.ExecAction, One and only one of the following should be specified. Exec specifies the action to take.
,,,,,,command,,,,,,,,array, Command is the command line to execute inside the container�C the working directory for the command  is root (&apos;/&apos;) in the container&apos;s filesystem. The command is simply exec&apos;d�C it is not run inside a shell�C so traditional shell instructions (&apos;|&apos;�C etc) won&apos;t work. To use a shell�C you need to explicitly call out to that shell. Exit status of 0 is treated as live/healthy and non-zero is unhealthy.
,,,,,,,[string],,,,,,,string, 
,,,,,failureThreshold,,,,,,,,,integer, Minimum consecutive failures for the probe to be considered failed after having succeeded. Defaults to 3. Minimum value is 1.
,,,,,httpGet,,,,,,,,,v1.HTTPGetAction, HTTPGet specifies the http request to perform.
,,,,,,host,,,,,,,,string, Host name to connect to�C defaults to the pod IP. You probably want to set &quot;Host&quot; in httpHeaders instead.
,,,,,,httpHeaders,,,,,,,,array, Custom headers to set in the request. HTTP allows repeated headers.
,,,,,,,name,,,,,,,string, The header field name
,,,,,,,value,,,,,,,string, The header field value
,,,,,,path,,,,,,,,string, Path to access on the HTTP server.
,,,,,,port,,,,,,,,intstr.IntOrString, Name or number of the port to access on the container. Number must be in the range 1 to 65535. Name must be an IANA_SVC_NAME.
,,,,,,scheme,,,,,,,,string, Scheme to use for connecting to the host. Defaults to HTTP.
,,,,,initialDelaySeconds,,,,,,,,,integer, Number of seconds after the container has started before liveness probes are initiated. More info: https://kubernetes.io/docs/concepts/workloads/pods/pod-lifecycle#container-probes
,,,,,periodSeconds,,,,,,,,,integer, How often (in seconds) to perform the probe. Default to 10 seconds. Minimum value is 1.
,,,,,successThreshold,,,,,,,,,integer, Minimum consecutive successes for the probe to be considered successful after having failed. Defaults to 1. Must be 1 for liveness. Minimum value is 1.
,,,,,tcpSocket,,,,,,,,,v1.TCPSocketAction, TCPSocket specifies an action involving a TCP port. TCP hooks not yet supported
,,,,,,host,,,,,,,,string, Optional: Host name to connect to�C defaults to the pod IP.
,,,,,,port,,,,,,,,intstr.IntOrString, Number or name of the port to access on the container. Number must be in the range 1 to 65535. Name must be an IANA_SVC_NAME.
,,,,,timeoutSeconds,,,,,,,,,integer, Number of seconds after which the probe times out. Defaults to 1 second. Minimum value is 1. More info: https://kubernetes.io/docs/concepts/workloads/pods/pod-lifecycle#container-probes
,,,,name,,,,,,,,,,string, Name of the container specified as a DNS_LABEL. Each container in a pod must have a unique name (DNS_LABEL). Cannot be updated.
,,,,ports,,,,,,,,,,array, List of ports to expose from the container. Exposing a port here gives the system additional information about the network connections a container uses�C but is primarily informational. Not specifying a port here DOES NOT prevent that port from being exposed. Any port which is listening on the default &quot;0.0.0.0&quot; address inside a container will be accessible from the network. Cannot be updated.
,,,,,containerPort,,,,,,,,,integer, Number of port to expose on the pod&apos;s IP address. This must be a valid port number�C 0 &lt; x &lt; 65536.
,,,,,hostIP,,,,,,,,,string, What host IP to bind the external port to.
,,,,,hostPort,,,,,,,,,integer, Number of port to expose on the host. If specified�C this must be a valid port number�C 0 &lt; x &lt; 65536. If HostNetwork is specified�C this must match ContainerPort. Most containers do not need this.
,,,,,name,,,,,,,,,string, If specified�C this must be an IANA_SVC_NAME and unique within the pod. Each named port in a pod must have a unique name. Name for the port that can be referred to by services.
,,,,,protocol,,,,,,,,,string, Protocol for port. Must be UDP or TCP. Defaults to &quot;TCP&quot;.
,,,,readinessProbe,,,,,,,,,,v1.Probe, Periodic probe of container service readiness. Container will be removed from service endpoints if the probe fails. Cannot be updated. More info: https://kubernetes.io/docs/concepts/workloads/pods/pod-lifecycle#container-probes
,,,,,exec,,,,,,,,,v1.ExecAction, One and only one of the following should be specified. Exec specifies the action to take.
,,,,,,command,,,,,,,,array, Command is the command line to execute inside the container�C the working directory for the command  is root (&apos;/&apos;) in the container&apos;s filesystem. The command is simply exec&apos;d�C it is not run inside a shell�C so traditional shell instructions (&apos;|&apos;�C etc) won&apos;t work. To use a shell�C you need to explicitly call out to that shell. Exit status of 0 is treated as live/healthy and non-zero is unhealthy.
,,,,,,,[string],,,,,,,string, 
,,,,,failureThreshold,,,,,,,,,integer, Minimum consecutive failures for the probe to be considered failed after having succeeded. Defaults to 3. Minimum value is 1.
,,,,,httpGet,,,,,,,,,v1.HTTPGetAction, HTTPGet specifies the http request to perform.
,,,,,,host,,,,,,,,string, Host name to connect to�C defaults to the pod IP. You probably want to set &quot;Host&quot; in httpHeaders instead.
,,,,,,httpHeaders,,,,,,,,array, Custom headers to set in the request. HTTP allows repeated headers.
,,,,,,,name,,,,,,,string, The header field name
,,,,,,,value,,,,,,,string, The header field value
,,,,,,path,,,,,,,,string, Path to access on the HTTP server.
,,,,,,port,,,,,,,,intstr.IntOrString, Name or number of the port to access on the container. Number must be in the range 1 to 65535. Name must be an IANA_SVC_NAME.
,,,,,,scheme,,,,,,,,string, Scheme to use for connecting to the host. Defaults to HTTP.
,,,,,initialDelaySeconds,,,,,,,,,integer, Number of seconds after the container has started before liveness probes are initiated. More info: https://kubernetes.io/docs/concepts/workloads/pods/pod-lifecycle#container-probes
,,,,,periodSeconds,,,,,,,,,integer, How often (in seconds) to perform the probe. Default to 10 seconds. Minimum value is 1.
,,,,,successThreshold,,,,,,,,,integer, Minimum consecutive successes for the probe to be considered successful after having failed. Defaults to 1. Must be 1 for liveness. Minimum value is 1.
,,,,,tcpSocket,,,,,,,,,v1.TCPSocketAction, TCPSocket specifies an action involving a TCP port. TCP hooks not yet supported
,,,,,,host,,,,,,,,string, Optional: Host name to connect to�C defaults to the pod IP.
,,,,,,port,,,,,,,,intstr.IntOrString, Number or name of the port to access on the container. Number must be in the range 1 to 65535. Name must be an IANA_SVC_NAME.
,,,,,timeoutSeconds,,,,,,,,,integer, Number of seconds after which the probe times out. Defaults to 1 second. Minimum value is 1. More info: https://kubernetes.io/docs/concepts/workloads/pods/pod-lifecycle#container-probes
,,,,resources,,,,,,,,,,v1.ResourceRequirements, Compute Resources required by this container. Cannot be updated. More info: https://kubernetes.io/docs/concepts/storage/persistent-volumes#resources
,,,,,limits,,,,,,,,,object, Limits describes the maximum amount of compute resources allowed. More info: https://kubernetes.io/docs/concepts/configuration/manage-compute-resources-container/
,,,,,,[string],,,,,,,,string, 
,,,,,requests,,,,,,,,,object, Requests describes the minimum amount of compute resources required. If Requests is omitted for a container�C it defaults to Limits if that is explicitly specified�C otherwise to an implementation-defined value. More info: https://kubernetes.io/docs/concepts/configuration/manage-compute-resources-container/
,,,,,,[string],,,,,,,,string, 
,,,,securityContext,,,,,,,,,,v1.SecurityContext, Security options the pod should run with. More info: https://kubernetes.io/docs/concepts/policy/security-context/ More info: https://kubernetes.io/docs/tasks/configure-pod-container/security-context/
,,,,,allowPrivilegeEscalation,,,,,,,,,boolean, AllowPrivilegeEscalation controls whether a process can gain more privileges than its parent process. This bool directly controls if the no_new_privs flag will be set on the container process. AllowPrivilegeEscalation is true always when the container is: 1) run as Privileged 2) has CAP_SYS_ADMIN
,,,,,capabilities,,,,,,,,,v1.Capabilities, The capabilities to add/drop when running containers. Defaults to the default set of capabilities granted by the container runtime.
,,,,,,add,,,,,,,,array, Added capabilities
,,,,,,,[string],,,,,,,string, 
,,,,,,drop,,,,,,,,array, Removed capabilities
,,,,,,,[string],,,,,,,string, 
,,,,,privileged,,,,,,,,,boolean, Run container in privileged mode. Processes in privileged containers are essentially equivalent to root on the host. Defaults to false.
,,,,,readOnlyRootFilesystem,,,,,,,,,boolean, Whether this container has a read-only root filesystem. Default is false.
,,,,,runAsGroup,,,,,,,,,integer, The GID to run the entrypoint of the container process. Uses runtime default if unset. May also be set in PodSecurityContext.  If set in both SecurityContext and PodSecurityContext�C the value specified in SecurityContext takes precedence.
,,,,,runAsNonRoot,,,,,,,,,boolean, Indicates that the container must run as a non-root user. If true�C the Kubelet will validate the image at runtime to ensure that it does not run as UID 0 (root) and fail to start the container if it does. If unset or false�C no such validation will be performed. May also be set in PodSecurityContext.  If set in both SecurityContext and PodSecurityContext�C the value specified in SecurityContext takes precedence.
,,,,,runAsUser,,,,,,,,,integer, The UID to run the entrypoint of the container process. Defaults to user specified in image metadata if unspecified. May also be set in PodSecurityContext.  If set in both SecurityContext and PodSecurityContext�C the value specified in SecurityContext takes precedence.
,,,,,seLinuxOptions,,,,,,,,,v1.SELinuxOptions, The SELinux context to be applied to the container. If unspecified�C the container runtime will allocate a random SELinux context for each container.  May also be set in PodSecurityContext.  If set in both SecurityContext and PodSecurityContext�C the value specified in SecurityContext takes precedence.
,,,,,,level,,,,,,,,string, Level is SELinux level label that applies to the container.
,,,,,,role,,,,,,,,string, Role is a SELinux role label that applies to the container.
,,,,,,type,,,,,,,,string, Type is a SELinux type label that applies to the container.
,,,,,,user,,,,,,,,string, User is a SELinux user label that applies to the container.
,,,,stdin,,,,,,,,,,boolean, Whether this container should allocate a buffer for stdin in the container runtime. If this is not set�C reads from stdin in the container will always result in EOF. Default is false.
,,,,stdinOnce,,,,,,,,,,boolean, Whether the container runtime should close the stdin channel after it has been opened by a single attach. When stdin is true the stdin stream will remain open across multiple attach sessions. If stdinOnce is set to true�C stdin is opened on container start�C is empty until the first client attaches to stdin�C and then remains open and accepts data until the client disconnects�C at which time stdin is closed and remains closed until the container is restarted. If this flag is false�C a container processes that reads from stdin will never receive an EOF. Default is false
,,,,terminationMessagePath,,,,,,,,,,string, Optional: Path at which the file to which the container&apos;s termination message will be written is mounted into the container&apos;s filesystem. Message written is intended to be brief final status�C such as an assertion failure message. Will be truncated by the node if greater than 4096 bytes. The total message length across all containers will be limited to 12kb. Defaults to /dev/termination-log. Cannot be updated.
,,,,terminationMessagePolicy,,,,,,,,,,string, Indicate how the termination message should be populated. File will use the contents of terminationMessagePath to populate the container status message on both success and failure. FallbackToLogsOnError will use the last chunk of container log output if the termination message file is empty and the container exited with an error. The log output is limited to 2048 bytes or 80 lines�C whichever is smaller. Defaults to File. Cannot be updated.
,,,,tty,,,,,,,,,,boolean, Whether this container should allocate a TTY for itself�C also requires &apos;stdin&apos; to be true. Default is false.
,,,,volumeDevices,,,,,,,,,,array, volumeDevices is the list of block devices to be used by the container. This is an alpha feature and may change in the future.
,,,,,devicePath,,,,,,,,,string, devicePath is the path inside of the container that the device will be mapped to.
,,,,,name,,,,,,,,,string, name must match the name of a persistentVolumeClaim in the pod
,,,,volumeMounts,,,,,,,,,,array, Pod volumes to mount into the container&apos;s filesystem. Cannot be updated.
,,,,,mountPath,,,,,,,,,string, Path within the container at which the volume should be mounted.  Must not contain &apos;:&apos;.
,,,,,mountPropagation,,,,,,,,,string, mountPropagation determines how mounts are propagated from the host to container and the other way around. When not set�C MountPropagationHostToContainer is used. This field is beta in 1.10.
,,,,,name,,,,,,,,,string, This must match the Name of a Volume.
,,,,,readOnly,,,,,,,,,boolean, Mounted read-only if true�C read-write otherwise (false or unspecified). Defaults to false.
,,,,,subPath,,,,,,,,,string, Path within the volume from which the container&apos;s volume should be mounted. Defaults to &quot;&quot; (volume&apos;s root).
,,,,workingDir,,,,,,,,,,string, Container&apos;s working directory. If not specified�C the container runtime&apos;s default will be used�C which might be configured in the container image. Cannot be updated.
,,,nodeName,,,,,,,,,,,string, NodeName is a request to schedule this pod onto a specific node. If it is non-empty�C the scheduler simply schedules this pod onto that node�C assuming that it fits resource requirements.
,,,nodeSelector,,,,,,,,,,,object, NodeSelector is a selector which must be true for the pod to fit on a node. Selector which must match a node&apos;s labels for the pod to be scheduled on that node. More info: https://kubernetes.io/docs/concepts/configuration/assign-pod-node/
,,,,[string],,,,,,,,,,string, 
,,,priority,,,,,,,,,,,integer, The priority value. Various system components use this field to find the priority of the pod. When Priority Admission Controller is enabled�C it prevents users from setting this field. The admission controller populates this field from PriorityClassName. The higher the value�C the higher the priority.
,,,priorityClassName,,,,,,,,,,,string, If specified�C indicates the pod&apos;s priority. &quot;system-node-critical&quot; and &quot;system-cluster-critical&quot; are two special keywords which indicate the highest priorities with the former being the highest priority. Any other name must be defined by creating a PriorityClass object with that name. If not specified�C the pod priority will be default or zero if there is no default.
,,,restartPolicy,,,,,,,,,,,string, Restart policy for all containers within the pod. One of Always�C OnFailure�C Never. Default to Always. More info: https://kubernetes.io/docs/concepts/workloads/pods/pod-lifecycle/#restart-policy
,,,schedulerName,,,,,,,,,,,string, If specified�C the pod will be dispatched by specified scheduler. If not specified�C the pod will be dispatched by default scheduler.
,,,securityContext,,,,,,,,,,,v1.PodSecurityContext, SecurityContext holds pod-level security attributes and common container settings. Optional: Defaults to empty.  See type description for default values of each field.
,,,,fsGroup,,,,,,,,,,integer, A special supplemental group that applies to all containers in a pod. Some volume types allow the Kubelet to change the ownership of that volume to be owned by the pod:1. The owning GID will be the FSGroup 2. The setgid bit is set (new files created in the volume will be owned by FSGroup) 3. The permission bits are OR&apos;d with rw-rw----If unset�C the Kubelet will not modify the ownership and permissions of any volume.
,,,,runAsGroup,,,,,,,,,,integer, The GID to run the entrypoint of the container process. Uses runtime default if unset. May also be set in SecurityContext.  If set in both SecurityContext and PodSecurityContext�C the value specified in SecurityContext takes precedence for that container.
,,,,runAsNonRoot,,,,,,,,,,boolean, Indicates that the container must run as a non-root user. If true�C the Kubelet will validate the image at runtime to ensure that it does not run as UID 0 (root) and fail to start the container if it does. If unset or false�C no such validation will be performed. May also be set in SecurityContext.  If set in both SecurityContext and PodSecurityContext�C the value specified in SecurityContext takes precedence.
,,,,runAsUser,,,,,,,,,,integer, The UID to run the entrypoint of the container process. Defaults to user specified in image metadata if unspecified. May also be set in SecurityContext.  If set in both SecurityContext and PodSecurityContext�C the value specified in SecurityContext takes precedence for that container.
,,,,seLinuxOptions,,,,,,,,,,v1.SELinuxOptions, The SELinux context to be applied to all containers. If unspecified�C the container runtime will allocate a random SELinux context for each container.  May also be set in SecurityContext.  If set in both SecurityContext and PodSecurityContext�C the value specified in SecurityContext takes precedence for that container.
,,,,,level,,,,,,,,,string, Level is SELinux level label that applies to the container.
,,,,,role,,,,,,,,,string, Role is a SELinux role label that applies to the container.
,,,,,type,,,,,,,,,string, Type is a SELinux type label that applies to the container.
,,,,,user,,,,,,,,,string, User is a SELinux user label that applies to the container.
,,,,supplementalGroups,,,,,,,,,,array, A list of groups applied to the first process run in each container�C in addition to the container&apos;s primary GID.  If unspecified�C no groups will be added to any container.
,,,,,[integer],,,,,,,,,integer, 
,,,serviceAccount,,,,,,,,,,,string, DeprecatedServiceAccount is a depreciated alias for ServiceAccountName. Deprecated: Use serviceAccountName instead.
,,,serviceAccountName,,,,,,,,,,,string, ServiceAccountName is the name of the ServiceAccount to use to run this pod. More info: https://kubernetes.io/docs/tasks/configure-pod-container/configure-service-account/
,,,shareProcessNamespace,,,,,,,,,,,boolean, Share a single process namespace between all of the containers in a pod. When this is set containers will be able to view and signal processes from other containers in the same pod�C and the first process in each container will not be assigned PID 1. HostPID and ShareProcessNamespace cannot both be set. Optional: Default to false. This field is alpha-level and is honored only by servers that enable the PodShareProcessNamespace feature.
,,,subdomain,,,,,,,,,,,string, If specified�C the fully qualified Pod hostname will be &quot;&lt;hostname&gt;.&lt;subdomain&gt;.&lt;pod namespace&gt;.svc.&lt;cluster domain&gt;&quot;. If not specified�C the pod will not have a domainname at all.
,,,terminationGracePeriodSeconds,,,,,,,,,,,integer, Optional duration in seconds the pod needs to terminate gracefully. May be decreased in delete request. Value must be non-negative integer. The value zero indicates delete immediately. If this value is nil�C the default grace period will be used instead. The grace period is the duration in seconds after the processes running in the pod are sent a termination signal and the time when the processes are forcibly halted with a kill signal. Set this value longer than the expected cleanup time for your process. Defaults to 30 seconds.
,,,tolerations,,,,,,,,,,,array, If specified�C the pod&apos;s tolerations.
,,,,effect,,,,,,,,,,string, Effect indicates the taint effect to match. Empty means match all taint effects. When specified�C allowed values are NoSchedule�C PreferNoSchedule and NoExecute.
,,,,key,,,,,,,,,,string, Key is the taint key that the toleration applies to. Empty means match all taint keys. If the key is empty�C operator must be Exists; this combination means to match all values and all keys.
,,,,operator,,,,,,,,,,string, Operator represents a key&apos;s relationship to the value. Valid operators are Exists and Equal. Defaults to Equal. Exists is equivalent to wildcard for value�C so that a pod can tolerate all taints of a particular category.
,,,,tolerationSeconds,,,,,,,,,,integer, TolerationSeconds represents the period of time the toleration (which must be of effect NoExecute�C otherwise this field is ignored) tolerates the taint. By default�C it is not set�C which means tolerate the taint forever (do not evict). Zero and negative values will be treated as 0 (evict immediately) by the system.
,,,,value,,,,,,,,,,string, Value is the taint value the toleration matches to. If the operator is Exists�C the value should be empty�C otherwise just a regular string.
,,,volumes,,,,,,,,,,,array, List of volumes that can be mounted by containers belonging to the pod. More info: https://kubernetes.io/docs/concepts/storage/volumes
,,,,awsElasticBlockStore,,,,,,,,,,v1.AWSElasticBlockStoreVolumeSource, AWSElasticBlockStore represents an AWS Disk resource that is attached to a kubelet&apos;s host machine and then exposed to the pod. More info: https://kubernetes.io/docs/concepts/storage/volumes#awselasticblockstore
,,,,,fsType,,,,,,,,,string, Filesystem type of the volume that you want to mount. Tip: Ensure that the filesystem type is supported by the host operating system. Examples: &quot;ext4&quot;�C &quot;xfs&quot;�C &quot;ntfs&quot;. Implicitly inferred to be &quot;ext4&quot; if unspecified. More info: https://kubernetes.io/docs/concepts/storage/volumes#awselasticblockstore
,,,,,partition,,,,,,,,,integer, The partition in the volume that you want to mount. If omitted�C the default is to mount by volume name. Examples: For volume /dev/sda1�C you specify the partition as &quot;1&quot;. Similarly�C the volume partition for /dev/sda is &quot;0&quot; (or you can leave the property empty).
,,,,,readOnly,,,,,,,,,boolean, Specify &quot;true&quot; to force and set the ReadOnly property in VolumeMounts to &quot;true&quot;. If omitted�C the default is &quot;false&quot;. More info: https://kubernetes.io/docs/concepts/storage/volumes#awselasticblockstore
,,,,,volumeID,,,,,,,,,string, Unique ID of the persistent disk resource in AWS (Amazon EBS volume). More info: https://kubernetes.io/docs/concepts/storage/volumes#awselasticblockstore
,,,,azureDisk,,,,,,,,,,v1.AzureDiskVolumeSource, AzureDisk represents an Azure Data Disk mount on the host and bind mount to the pod.
,,,,,cachingMode,,,,,,,,,string, Host Caching mode: None�C Read Only�C Read Write.
,,,,,diskName,,,,,,,,,string, The Name of the data disk in the blob storage
